Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05929016894999,,,,,,,,,,,,
ALB,Upper middle income,Albania,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26957699339956,,,,,,,,,,,,
DZA,Lower middle income,Algeria,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0392229403642657,,,,,,,,,,,,
ASM,Upper middle income,American Samoa,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002617549798884,,,,,,,,,,,,
AND,High income,Andorra,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Lower middle income,Angola,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01176467635625,,,,,,,,,,,,
ATG,High income,Antigua and Barbuda,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Upper middle income,Argentina,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167189950512828,,,,,,,,,,,,
ARM,Upper middle income,Armenia,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478231100921505,,,,,,,,,,,,
ABW,High income,Aruba,Droughts floods extreme temperatures (% of population average 1990-2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
