Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Upper middle income,Albania,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1,,,,,,40.4,,,39.2,,,39.0,,,,37.8,,41.7,40.6,41.2,40.7,38.2,39.2,,
DZA,Lower middle income,Algeria,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.2,,,,,,,42.6,,,,,,,,,,,,,,,,37.2,,,,,,,,,,
ASM,Upper middle income,American Samoa,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,High income,Andorra,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Lower middle income,Angola,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.1,,,,,,,,48.5,,,,,,,,,,55.6,,,
ATG,High income,Antigua and Barbuda,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Upper middle income,Argentina,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,46.6,,,,,,48.5,50.6,,,,52.5,50.9,49.9,51.0,53.8,54.0,53.7,55.1,54.2,55.1,57.0,57.8,54.9,52.6,52.0,50.6,50.6,49.4,48.3,48.6,47.8,46.5,46.1,46.8,,47.2,46.4,46.5,47.9,47.3,
ARM,Upper middle income,Armenia,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2,,43.9,43.5,42.2,45.8,44.7,38.8,40.0,38.4,37.5,39.4,38.6,38.7,39.4,40.1,40.7,40.2,42.4,43.0,39.1,35.6,
ABW,High income,Aruba,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,High income,Australia,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,39.2,,,,40.2,,,,40.6,,,,,,40.4,,,,,,40.9,,40.9,40.9,,,,42.7,,42.0,,,,42.1,,41.1,,41.8,,,
AUT,High income,Austria,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,,39.4,37.9,,38.4,,,37.5,,,38.1,38.5,37.5,38.3,38.7,38.6,39.3,38.4,38.7,38.4,38.9,38.7,38.4,38.6,37.8,38.7,38.2,,
AZE,Upper middle income,Azerbaijan,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,,,,,44.5,36.7,37.4,37.8,37.8,,,,,,,,,,,,,,,,
BHS,High income,Bahamas The,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,High income,Bahrain,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Lower middle income,Bangladesh,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,35.8,,37.2,,,38.6,,,37.4,,,,42.4,,,,,42.7,,,,,42.5,,,,,41.5,,,,,,41.4,,,,,
BRB,High income,Barbados,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Upper middle income,Belarus,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.1,39.4,39.1,38.9,38.8,37.6,35.9,36.5,37.1,38.4,36.8,37.0,37.5,36.3,36.1,36.2,36.7,35.5,35.5,35.5,35.5,35.4,34.8,
BEL,High income,Belgium,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,34.9,,,35.3,,,,34.5,,,37.3,,36.1,,,41.7,,,37.0,39.2,38.2,36.9,38.0,37.2,37.2,37.2,36.8,36.4,36.4,36.9,36.5,36.4,36.3,36.4,36.5,,
BLZ,Upper middle income,Belize,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3,65.4,,61.3,64.2,59.4,57.7,,,,,,,,,,,,,,,,,,,,,,
BEN,Lower middle income,Benin,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2,,,,,,,,50.7,,,,52.1,,,45.4,,,
BMU,High income,Bermuda,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Lower middle income,Bhutan,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,45.1,,,,,46.1,,,,,44.4,,,,
BOL,Lower middle income,Bolivia,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.7,,60.5,64.2,60.6,62.4,,59.5,62.0,60.1,58.7,54.8,53.2,,50.6,50.6,51.9,52.3,51.2,49.4,49.0,47.5,47.3,49.0,
BIH,Upper middle income,Bosnia and Herzegovina,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,41.8,,,40.7,,,,40.7,,,,,,,,,,
BWA,Upper middle income,Botswana,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,58.9,,,,,,,,64.9,,,,,,,,,69.5,,,,,,,65.0,,,,,,58.5,,,,,,
BRA,Upper middle income,Brazil,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,62.3,62.7,63.4,62.9,60.0,62.8,63.7,65.5,67.3,64.6,,57.1,64.3,,63.8,63.9,63.8,63.8,63.3,,62.5,62.4,61.8,60.8,60.7,60.1,59.3,58.6,58.2,,57.5,58.1,57.5,56.9,56.7,58.0,57.8,58.3,57.8,54.7,
VGB,High income,British Virgin Islands,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,High income,Brunei Darussalam,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Upper middle income,Bulgaria,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8,43.0,41.0,40.9,42.2,41.1,42.7,42.9,43.9,44.3,46.4,46.6,47.6,46.6,,
BFA,Low income,Burkina Faso,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,56.6,,,,,49.8,,,,,,47.1,,,,,44.3,,,,54.3,,,
BDI,Low income,Burundi,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,,,,,,47.9,,,,,,,,42.9,,,,,,,46.3,,,,,,,,
CPV,Lower middle income,Cabo Verde,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,53.3,,,,,,,,48.7,,,,,,
KHM,Lower middle income,Cambodia,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Lower middle income,Cameroon,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,,,,,49.0,,,,,,49.1,,,,,,,51.7,,,,,,,
CAN,High income,Canada,Income share held by highest 20%,,,,,,,,,,,,43.4,,,,40.4,,,,,,39.9,,,,,,39.3,,,,38.9,,,39.1,,,39.2,40.5,,40.6,,,,40.9,,,41.2,,,40.9,,40.6,40.6,40.4,40.9,40.2,40.6,,,,
CYM,High income,Cayman Islands,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Low income,Central African Republic,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,60.9,,,,,,,,,,,,,
TCD,Low income,Chad,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,,,,48.8,,,,,,,45.2,,,
CHI,High income,Channel Islands,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,High income,Chile,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,62.5,,60.1,,61.5,,60.1,,60.7,,58.0,,,56.8,,,53.4,,,53.4,,52.6,,52.6,,51.2,,51.3,,,51.6,
CHN,Upper middle income,China,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8,,,42.2,,,42.9,,,45.6,,,47.9,,,47.1,,,48.4,,49.0,48.1,47.8,46.3,45.8,45.4,45.3,45.9,45.4,45.3,,
COL,Upper middle income,Colombia,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,60.8,,,62.4,62.2,61.4,60.6,58.6,60.0,59.0,,,59.7,58.8,59.2,58.2,57.3,57.3,57.2,55.8,55.5,54.8,55.4,56.2,58.3,
COM,Lower middle income,Comoros,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4,,,,,,,,,,50.4,,,,,,,
COD,Low income,Congo Dem. Rep.,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5,,,,,,,,48.4,,,,,,,,,
COG,Lower middle income,Congo Rep.,Income share held by highest 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,,,,,,53.7,,,,,,,,,,
