Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Land under cereal production (hectares),,3313500.0,3425500.0,3426500.0,3446500.0,3444500.0,3446500.0,3124500.0,3041500.0,3081500.0,3178000.0,3400000.0,3923100.0,3337000.0,3342000.0,3404000.0,3394000.0,3388000.0,3392000.0,3183500.0,3018500.0,2909000.0,2799500.0,2649000.0,2562000.0,2434500.0,2347000.0,2496000.0,2331000.0,2290000.0,2253000.0,2345071.0,2250000.0,2631882.0,2757000.0,2669450.0,2691670.0,2730401.0,2792105.0,2532871.0,2406000.0,2094000.0,2238000.0,3004700.0,2667000.0,3030000.0,2989000.0,3021000.0,2714000.0,3192000.0,2962000.0,2820000.0,3143000.0,3182922.0,3344733.0,2724070.0,2793694.0,2419097.0,1911658.0,2641911.0,3043589.0,
ALB,Upper middle income,Albania,Land under cereal production (hectares),,347764.0,332882.0,298725.0,342158.0,323238.0,328443.0,332935.0,323150.0,322299.0,327282.0,312203.0,331220.0,339400.0,334040.0,328500.0,350500.0,357000.0,356000.0,365800.0,372500.0,361600.0,357400.0,350300.0,350400.0,343000.0,349800.0,345900.0,347000.0,348900.0,321000.0,215339.0,198700.0,247936.0,262515.0,227137.0,205526.0,212488.0,210906.0,177800.0,178200.0,165800.0,157600.0,153340.0,143900.0,147655.0,140870.0,132390.0,149100.0,146200.0,145700.0,147599.0,142800.0,142000.0,143149.0,142600.0,148084.0,145799.0,140110.0,132203.0,131310.0,
DZA,Lower middle income,Algeria,Land under cereal production (hectares),,2708623.0,2911300.0,2891420.0,2805810.0,2862350.0,1921790.0,2600270.0,3017870.0,3012480.0,3228170.0,2952400.0,3517530.0,3232850.0,2973050.0,3171240.0,3349880.0,2780260.0,2624990.0,2886660.0,3181380.0,2836390.0,2569300.0,2227560.0,2670070.0,3198670.0,2871100.0,2719150.0,1808540.0,2638170.0,2365999.0,3418278.0,3530507.0,1959520.0,1287357.0,2579551.0,3663945.0,1115670.0,3575718.0,1888946.0,1058184.0,2402748.0,1845217.0,2901720.0,3000731.0,2350627.0,2672232.0,2873873.0,1485477.0,3176367.0,2856567.0,2584734.0,3062449.0,2709432.0,2509193.0,2686241.0,3376448.0,3512151.0,3107774.0,3187482.0,2889577.0,
ASM,Upper middle income,American Samoa,Land under cereal production (hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,High income,Andorra,Land under cereal production (hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Lower middle income,Angola,Land under cereal production (hectares),,657000.0,654000.0,645000.0,644000.0,603000.0,609000.0,632200.0,653000.0,721000.0,632000.0,649000.0,658000.0,718000.0,721000.0,721000.0,726000.0,713000.0,712000.0,709000.0,704000.0,700500.0,699000.0,695400.0,688800.0,685800.0,899000.0,956000.0,1006000.0,982000.0,774281.0,891200.0,1011875.0,1201385.0,955000.0,737214.0,795291.0,791198.0,868838.0,872348.0,920726.0,1026812.0,1170009.0,1140009.0,1509879.0,1568233.0,1622092.0,1682171.0,1156211.0,1849528.0,1878155.0,2132989.0,923085.0,2056204.0,2052732.0,2055726.0,2730899.0,3096317.0,3063255.0,3064970.0,2678045.0,
ATG,High income,Antigua and Barbuda,Land under cereal production (hectares),,,,,,,12.0,8.0,12.0,20.0,25.0,35.0,40.0,14.0,18.0,32.0,28.0,18.0,20.0,50.0,17.0,25.0,33.0,38.0,17.0,20.0,21.0,25.0,28.0,28.0,21.0,30.0,30.0,30.0,30.0,28.0,30.0,30.0,30.0,30.0,30.0,31.0,32.0,35.0,38.0,38.0,40.0,40.0,42.0,42.0,40.0,45.0,44.0,45.0,46.0,47.0,35.0,28.0,24.0,20.0,3.0,
ARG,Upper middle income,Argentina,Land under cereal production (hectares),,10287500.0,8699220.0,11468110.0,12281330.0,9866080.0,11122075.0,12185670.0,12408430.0,11884800.0,11221810.0,12321590.0,11702050.0,11688950.0,11538000.0,11780050.0,13051770.0,10542300.0,11425900.0,11131900.0,9952900.0,12377000.0,14052800.0,13599000.0,12337485.0,11508250.0,10119555.0,9631373.0,8835955.0,8515784.0,8504919.0,9386545.0,8748790.0,8370535.0,8619890.0,9061870.0,8872500.0,12189268.0,10603135.0,9574275.0,10972298.0,10785378.0,10702110.0,9814395.0,9345371.0,10291886.0,8701693.0,9796747.0,10921189.0,8046915.0,8155785.0,11077808.0,11380945.0,10581024.0,10522262.0,11713405.0,11751642.0,14136037.0,15112939.0,15303998.0,16608538.0,
ARM,Upper middle income,Armenia,Land under cereal production (hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162767.0,181430.0,158077.0,133512.0,166633.0,186100.0,182500.0,164489.0,156883.0,191699.0,184869.0,194815.0,198015.0,202111.0,157557.0,172630.0,170141.0,164014.0,155666.0,156138.0,170172.0,176945.0,180626.0,190209.0,194717.0,150892.0,127436.0,115382.0,117720.0,
ABW,High income,Aruba,Land under cereal production (hectares),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
