Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Manufactures imports (% of merchandise imports),,,28.6521376403035,41.0557216014938,30.2510645951534,28.5228938651142,24.3032038512962,27.7852526287362,33.2859225582647,40.315678935165,54.3142843254721,37.0881179809319,62.7370084262365,65.8142763012315,56.6493592453059,46.774855133727,49.9178238085996,46.4749385098249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.225306021781,16.661688583446,19.0830581632724,13.7203511420929,6.5739642416531,6.99944663151224,8.40791819685785,16.5001116931986,24.5975694033498,40.7024238433037,45.2205947815806,41.0868040544375,,
ALB,Upper middle income,Albania,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2102869652691,67.0210346243327,66.5323598976361,63.9938517704226,66.586000834266,68.1084243526898,67.863848824752,69.0342975653711,70.293332697955,71.3119849316285,64.1209694901953,65.1285860984399,63.3699189987576,67.6204817449223,63.575091859884,60.6798261948745,59.0264794628749,61.4960884630195,37.3435488970563,58.5674745205595,58.2955735608015,51.0404356493248,47.511441094006,50.6593616573049,61.5314824043475,
DZA,Lower middle income,Algeria,Manufactures imports (% of merchandise imports),,,,,,,68.6979673536115,,73.4643785798188,77.6588178508717,79.3256574216342,75.1083053645824,,77.4191321113152,72.6895859660072,72.8571770035953,77.4738009463373,77.3377877329198,78.6499892322366,75.6914830496773,71.7126217711888,72.5995131872165,73.5422172517333,71.3013712177247,73.1653166523919,67.0192958073139,69.5110544670296,63.7679034560159,,,,,64.9987399500917,65.7928924814701,61.5843368393121,64.7226589354794,63.1829444898753,62.3808319251591,64.8050249853317,67.1167214574189,66.6366780393249,68.7735445650932,70.3374789171968,73.1907363428163,73.9403564572102,76.4657970572374,75.8090599857943,74.8799059885018,73.9883560525378,79.7522066119791,78.4308573742416,71.7393068460253,67.4048861521002,70.1306786762433,72.0429123194083,73.1769028033099,74.6202711876683,72.9653660533898,,,,
ASM,Upper middle income,American Samoa,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,High income,Andorra,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1926581201281,65.6776443282495,64.7382870010111,71.9468783007097,74.4487882202505,73.8429450072472,74.0107289001197,74.8335274159212,75.4873890077126,76.2331984208912,,74.1624999173079,74.3427405958356,69.2424241900379,68.5768779047805,66.8632226470354,64.3809335797637,61.5016777884836,62.5905502093151,63.4935712437506,66.4401006911656,67.6021155165485,67.3380146561716,68.2945524421844,,,
AGO,Lower middle income,Angola,Manufactures imports (% of merchandise imports),,,74.2975702512366,,,,,,,78.9670474751093,78.8409239893954,81.6521436683967,80.6758057405018,78.5760037267417,76.9297458069304,,,,,,,,,,,65.0947382380269,,,,,,,,,,,,,,,,,,,,,,81.2885756497697,,69.3479165082659,65.7083388856312,67.6500290780513,73.6637116833577,72.6126819687005,63.0819546986625,60.265008866166,54.8527236409138,55.9932202404156,59.2674911195402,64.9518543318021,65.60643147253,63.8104576308322
ATG,High income,Antigua and Barbuda,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,39.3591797835141,23.0284192372123,34.7673885714238,,66.3901783448335,62.013336884393,,,71.0872242962346,,,,,,,,,,,,,,,,,,64.2763028209431,58.7971225954697,,,,,45.7916275680373,45.9772907724241,70.5761950907949,,41.6425205794397,48.2890456259867,38.3307793627051,58.9773061489437,60.6825889411592,45.7525095459994,53.8703345004832,57.8605906987816,58.7419468075513,67.0578167493161,66.5110946746486,,
ARG,Upper middle income,Argentina,Manufactures imports (% of merchandise imports),,,80.3662687469945,78.2700226968904,67.7451852917737,62.1946463144543,64.6509786141096,68.7043262686715,69.5560614775541,69.8895888795937,73.0587543303087,72.1450852258777,74.6487726882473,67.7195784238079,64.0029299935732,67.4185595328702,65.415941201566,68.7981626626938,72.7925226896408,67.0492090520579,77.331851085658,78.0978126996309,73.6580250852308,75.7858759462323,74.4381763803816,74.9698193713781,73.7916956731029,74.5263312524119,,,,,86.3219700586407,87.8860329340414,88.110501592244,85.5029706384344,86.9466997825818,87.7186307913254,88.6644796155083,88.6198562602907,86.7256459906493,85.9014752322376,83.0626213492873,85.5415110086989,86.4824111210958,86.3533363056346,86.5965738964109,85.1625207870206,82.8939768927974,85.352141979531,84.3577203165293,79.4754431161363,79.8780116980627,77.0861763046026,75.8210720291067,81.7976426585726,84.0543400354801,83.5951661440282,78.7079066895287,79.5866915236971,80.0726737285019,77.3132759488518
ARM,Upper middle income,Armenia,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5845471436497,,49.5433358807863,51.0046528459288,48.2126729860872,54.2677458090171,60.1356915316063,53.7127230831399,59.0183987174857,57.4321418090736,58.8892267038467,58.4910578181784,58.7738692772618,55.0460223604655,54.3946392263352,50.5054816782553,51.1547007346649,53.7145823857124,54.1421789200803,58.0708350062829,60.7511726317896,64.7657363580694,62.5559831840813,61.3560906471438,60.3571286169901
ABW,High income,Aruba,Manufactures imports (% of merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5896780740747,69.6652515587453,71.9406083688584,70.2095930625135,69.6151224771922,29.0728842257247,69.7728180681964,72.4159002700264,70.7494787259711,64.9691778454159,59.3289998848001,62.1954013606675,58.8331282284422,58.4511358915968,61.6515613411627,61.309653297513,63.2084764567335,62.3361850453968,64.3937133727252,64.8392172000081,62.556969791971,59.4874699097202
