Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Merchandise imports (current US$),87000000.0,99000000.0,116000000.0,125000000.0,124000000.0,121000000.0,128000000.0,126000000.0,114000000.0,126000000.0,114000000.0,141000000.0,164000000.0,172000000.0,243000000.0,350000000.0,261000000.0,328000000.0,395000000.0,425000000.0,841000000.0,886000000.0,962000000.0,1064000000.0,1390000000.0,1194000000.0,1404000000.0,996000000.0,900000000.0,822000000.0,936000000.0,443000000.0,398000000.0,465000000.0,391000000.0,387000000.0,661000000.0,604000000.0,462000000.0,1012000000.0,1176000000.0,1696000000.0,2452000000.0,2101000000.0,2177000000.0,2471000000.0,2744000000.0,3022000000.0,3020000000.0,3336000000.0,5154000000.0,6515000000.0,9069000000.0,8554000000.0,7729000000.0,7723000000.0,6534000000.0,7065000000.0,7407000000.0,6777000000.0,6538000000.0,5574000000.0
ALB,Upper middle income,Albania,Merchandise imports (current US$),81000000.0,72000000.0,65000000.0,71000000.0,98000000.0,,,,,,,,,,,,,,,,,,,,,,,,318000000.0,387000000.0,380000000.0,410000000.0,541000000.0,572000000.0,604000000.0,714000000.0,938000000.0,646000000.0,829000000.0,1140000000.0,1091000000.0,1327000000.0,1504000000.0,1864000000.0,2309000000.0,2619000000.0,3060000000.0,4191000000.0,5575000000.0,4553000000.0,4406000000.0,5383000000.0,4879000000.0,4920000000.0,5222000000.0,4302000000.0,4613000000.0,5271000000.0,5925000000.0,5897000000.0,5570000000.0,7718000000.0
DZA,Lower middle income,Algeria,Merchandise imports (current US$),1264000000.0,1024000000.0,393000000.0,683000000.0,703000000.0,671000000.0,643000000.0,639000000.0,815000000.0,1009000000.0,1257000000.0,1227000000.0,1494000000.0,2236000000.0,4035000000.0,5498000000.0,5081000000.0,7125000000.0,8548000000.0,8403000000.0,10558000000.0,11303000000.0,10754000000.0,10399000000.0,10288000000.0,9841000000.0,9228000000.0,7042000000.0,7690000000.0,9470000000.0,9770000000.0,7770000000.0,8310000000.0,8785000000.0,9154000000.0,10100000000.0,9090000000.0,8688000000.0,9400000000.0,9162000000.0,9171000000.0,9940000000.0,11969000000.0,12380000000.0,18169000000.0,20357000000.0,21456000000.0,27631000000.0,39479000000.0,39294000000.0,40473000000.0,47247000000.0,50378000000.0,55028000000.0,58580000000.0,51702000000.0,47089000000.0,46059000000.0,46330000000.0,41934000000.0,34392000000.0,36000000000.0
ASM,Upper middle income,American Samoa,Merchandise imports (current US$),5000000.0,4000000.0,8000000.0,14000000.0,10000000.0,10000000.0,6000000.0,4000000.0,12000000.0,12000000.0,18000000.0,20000000.0,24000000.0,36000000.0,47000000.0,53000000.0,51000000.0,55000000.0,73000000.0,40000000.0,95000000.0,234000000.0,198000000.0,227000000.0,284000000.0,296000000.0,313000000.0,346000000.0,339000000.0,378000000.0,360000000.0,372000000.0,418000000.0,467000000.0,498000000.0,416000000.0,471000000.0,529000000.0,498000000.0,453000000.0,506000000.0,507000000.0,486000000.0,611000000.0,589000000.0,506000000.0,566000000.0,460000000.0,568000000.0,482000000.0,361000000.0,345000000.0,396000000.0,479000000.0,611000000.0,675000000.0,655000000.0,595000000.0,653000000.0,712000000.0,698000000.0,711000000.0
AND,High income,Andorra,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1556000000.0,1294000000.0,1354000000.0,1478000000.0,1609000000.0,1567000000.0,1450000000.0,1823000000.0
AGO,Lower middle income,Angola,Merchandise imports (current US$),128000000.0,114000000.0,136000000.0,147000000.0,164000000.0,195000000.0,207000000.0,275000000.0,303000000.0,321000000.0,368000000.0,445000000.0,392000000.0,579000000.0,614000000.0,429000000.0,353000000.0,720000000.0,885000000.0,1112000000.0,1328000000.0,1662000000.0,886000000.0,983000000.0,1256000000.0,1401000000.0,1086000000.0,1303000000.0,1372000000.0,1338000000.0,1578000000.0,1347000000.0,1988000000.0,1463000000.0,1454000000.0,1468000000.0,2040000000.0,2597000000.0,2079000000.0,3109000000.0,3040000000.0,3179000000.0,3760000000.0,5480000000.0,5832000000.0,8353000000.0,8778000000.0,13661000000.0,20982000000.0,22660000000.0,16667000000.0,20228000000.0,23717000000.0,26331000000.0,28580000000.0,20693000000.0,13040000000.0,14463000000.0,15798000000.0,14127000000.0,9543000000.0,11795000000.0
ATG,High income,Antigua and Barbuda,Merchandise imports (current US$),9000000.0,11000000.0,13000000.0,13000000.0,13000000.0,19000000.0,26000000.0,23000000.0,25000000.0,29000000.0,36000000.0,44000000.0,47000000.0,48000000.0,70000000.0,67000000.0,35000000.0,34000000.0,41000000.0,63000000.0,88000000.0,111000000.0,139000000.0,109000000.0,132000000.0,166000000.0,207000000.0,247000000.0,250000000.0,192000000.0,255000000.0,295000000.0,312000000.0,323000000.0,342000000.0,346000000.0,365000000.0,379000000.0,385000000.0,414000000.0,407000000.0,386000000.0,400000000.0,422000000.0,454000000.0,506000000.0,624000000.0,728000000.0,743000000.0,534000000.0,501000000.0,430000000.0,492000000.0,503000000.0,532000000.0,449000000.0,478000000.0,554000000.0,699000000.0,701000000.0,498000000.0,596000000.0
ARG,Upper middle income,Argentina,Merchandise imports (current US$),1249000000.0,1460000000.0,1357000000.0,981000000.0,1077000000.0,1199000000.0,1124000000.0,1096000000.0,1169000000.0,1576000000.0,1694000000.0,1868000000.0,1905000000.0,2230000000.0,3635000000.0,3947000000.0,3033000000.0,4162000000.0,3834000000.0,6700000000.0,10541000000.0,9430000000.0,5337000000.0,4504000000.0,4585000000.0,3814000000.0,4724000000.0,5818000000.0,5322000000.0,4203000000.0,4076000000.0,8275000000.0,14872000000.0,16784000000.0,21527000000.0,20122000000.0,23762000000.0,30450000000.0,31404000000.0,25508000000.0,25154000000.0,20320000000.0,8990000000.0,13834000000.0,22445000000.0,28689000000.0,34152000000.0,44706000000.0,57462000000.0,38786000000.0,56793000000.0,74319000000.0,67974000000.0,74442000000.0,65735000000.0,60205000000.0,55852000000.0,66937000000.0,65482000000.0,49124000000.0,42354000000.0,63185000000.0
ARM,Upper middle income,Armenia,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206000000.0,254000000.0,394000000.0,674000000.0,856000000.0,892000000.0,902000000.0,800000000.0,882000000.0,874000000.0,987000000.0,1280000000.0,1351000000.0,1802000000.0,2192000000.0,3268000000.0,4426000000.0,3321000000.0,3783000000.0,4145000000.0,4261000000.0,4477000000.0,4401000000.0,3239000000.0,3273000000.0,4189000000.0,4963000000.0,5514000000.0,4559000000.0,5357000000.0
ABW,High income,Aruba,Merchandise imports (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,210000000.0,250000000.0,355000000.0,402000000.0,581000000.0,1403000000.0,1306000000.0,1396000000.0,1439000000.0,1597000000.0,2035000000.0,2116000000.0,1518000000.0,1994000000.0,2582000000.0,2372000000.0,2017000000.0,2397000000.0,3589000000.0,4288000000.0,4723000000.0,5126000000.0,6011000000.0,2449000000.0,1394000000.0,5917000000.0,2046000000.0,1377000000.0,1350000000.0,1250000000.0,1138000000.0,1124000000.0,1232000000.0,1206000000.0,861000000.0,1053000000.0
