Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Upper middle income,Albania,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,16.2,,,11.5,,,8.2,,,,9.5,,12.5,6.8,6.9,6.6,4.6,2.3,,
DZA,Lower middle income,Algeria,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,23.9,,,,,,,,,,,,,,,,9.1,,,,,,,,,,
ASM,Upper middle income,American Samoa,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,High income,Andorra,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Lower middle income,Angola,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,,,,,,,32.8,,,,,,,,,,44.5,,,
ATG,High income,Antigua and Barbuda,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Upper middle income,Argentina,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,1.5,,,,,,2.1,2.8,,,,4.5,5.0,5.5,5.7,8.1,9.2,8.5,9.4,9.7,11.3,14.9,21.8,12.5,9.9,8.0,6.3,5.5,5.1,4.6,3.7,2.8,2.8,2.6,2.8,,2.8,2.5,3.1,3.7,4.5,
ARM,Upper middle income,Armenia,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,40.5,38.2,36.0,29.2,23.8,20.7,17.6,15.5,19.2,19.6,18.4,17.0,16.5,16.1,14.2,13.7,13.8,14.4,15.2,14.1,
ABW,High income,Aruba,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,High income,Australia,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.1,,,,1.0,,,,,,1.1,,,,,,1.0,,1.1,0.7,,,,0.5,,0.5,,,,0.6,,0.6,,0.6,,,
AUT,High income,Austria,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.5,1.4,,0.5,,,0.2,,,0.4,0.2,0.2,0.2,0.5,0.6,0.7,0.6,0.6,0.7,0.4,0.4,0.7,0.9,0.4,0.7,0.7,,
AZE,Upper middle income,Azerbaijan,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.2,,,,,,28.6,10.2,10.2,8.5,5.3,,,,,,,,,,,,,,,,
BHS,High income,Bahamas The,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,High income,Bahrain,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Lower middle income,Bangladesh,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,60.5,,57.3,,,60.8,,,61.3,,,,55.7,,,,,54.2,,,,,49.9,,,,,46.5,,,,,,42.4,,,,,
BRB,High income,Barbados,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Upper middle income,Belarus,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.8,43.6,38.9,28.9,24.6,22.4,16.0,10.2,7.2,5.0,3.8,3.5,2.5,2.0,1.0,0.6,0.5,0.7,0.8,0.6,0.4,0.3,0.2,
BEL,High income,Belgium,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,0.6,,,,0.9,,,0.7,,0.5,,,0.5,,,0.4,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,,
BLZ,Upper middle income,Belize,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,31.4,,35.6,37.2,35.4,32.5,,,,,,,,,,,,,,,,,,,,,,
BEN,Lower middle income,Benin,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.1,,,,,,,,61.5,,,,62.8,,,43.1,,,
BMU,High income,Bermuda,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Lower middle income,Bhutan,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,25.4,,,,,14.9,,,,,12.6,,,,
BOL,Lower middle income,Bolivia,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,29.3,32.7,27.6,29.1,,20.6,24.0,21.0,18.9,15.1,13.5,,10.2,10.9,9.4,8.7,8.8,9.8,9.1,7.8,5.8,6.6,
BIH,Upper middle income,Bosnia and Herzegovina,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,1.5,,,1.0,,,,1.4,,,,,,,,,,
BWA,Upper middle income,Botswana,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,52.4,,,,,,,,46.2,,,,,,,,,40.8,,,,,,,31.0,,,,,,31.8,,,,,,
BRA,Upper middle income,Brazil,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,36.8,36.8,42.4,42.0,38.2,23.8,31.7,33.8,31.7,35.7,,35.6,34.6,,26.3,26.8,27.0,25.7,26.7,,23.6,22.8,23.6,22.3,20.8,18.4,17.3,15.3,14.4,,12.4,11.2,10.0,9.2,9.9,11.0,11.2,11.1,11.0,6.3,
VGB,High income,British Virgin Islands,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,High income,Brunei Darussalam,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Upper middle income,Bulgaria,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6,5.3,3.9,3.7,5.0,5.5,5.4,5.4,4.2,6.1,4.5,3.6,2.8,2.8,,
BFA,Low income,Burkina Faso,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.6,,,,76.0,,,,,63.3,,,,,,62.6,,,,,56.6,,,,46.8,,,
BDI,Low income,Burundi,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,,,,,,77.2,,,,,,,,71.5,,,,,,,68.5,,,,,,,,
CPV,Lower middle income,Cabo Verde,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,27.8,,,,,,,,19.7,,,,,,
KHM,Lower middle income,Cambodia,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Lower middle income,Cameroon,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.2,,,,,45.4,,,,,,47.5,,,,,,,39.9,,,,,,,
CAN,High income,Canada,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,3.0,,,,1.4,,,,,,0.7,,,,,,0.4,,,,0.3,,,0.4,,,0.6,0.6,,0.4,,,,0.4,,,0.3,,,0.3,,0.4,0.5,0.4,0.5,0.4,0.4,,,,
CYM,High income,Cayman Islands,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Low income,Central African Republic,Poverty gap at $6.85 a day (2017 PPP) (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,66.4,,,,,,,,,,,,,
