Country Code,Income Group,Country Name,Series Name,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
AFG,Low income,Afghanistan,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Upper middle income,Albania,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.69,6.18,6.1533333333333,0.114166666666598,,4.0783333333333,11.2983565,11.9329093333334,5.8171221666667,5.46110966666663,4.9678199344487,7.55325723333333,7.45081577851817,8.16725135647176,6.77790761239409,6.38764828955583,6.99624473827277,6.9700483400179,5.7287029200902,5.61860679966272,4.8575,5.1375,5.67166666666667,5.0,4.6225,,5.15166666666666,4.97333333333334
DZA,Lower middle income,Algeria,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75111111111111,0.7075,0.19875,3.64833333333333,5.72083333333333,6.45333333333333,7.1325,7.24833333333333,5.85666666666667,7.04125,7.66583333333333,7.29416666666667,7.68666666666667,7.78833333333333,7.51083333333333,7.7525,7.7125,7.5025,6.805,6.25416666666667,5.64083333333333,5.09583333333333,5.0,5.0
ASM,Upper middle income,American Samoa,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,High income,Andorra,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Lower middle income,Angola,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1575,36.0914640703017,11.6508144527911,,,,11.7235720221269,11.8314349810201,13.209179099001,12.744020240031,12.102965385581,9.67804295543776,0.688596531704201,-0.541816285341199,7.5455456943824,6.210992205655,3.1588581607263,0.038043518597199
ATG,High income,Antigua and Barbuda,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,3.9200003306071,4.6200003517998,4.4800003475613,4.0600003348456,4.9000003602769,3.64000032213,2.380000283983,3.64000032213,3.64000032213,5.6500000953674,5.7000000476837,5.6758596545235,6.1467623059324,5.695846968362,5.2591910606266,4.9825861100038,5.1951114740288,5.071877641383,5.1715539440033,4.6243803976043,4.387913378312,5.8219814495275,4.9643907528209,4.3939380792616,4.3705898841823,4.10520170246147,4.4141009360419,3.6903700920516,4.7493475073677,4.4144525231277,4.0321966422671,3.95235329417181,4.0718377079627,4.84008333333333,4.96333333333333,6.645,6.996532,,,
ARG,Upper middle income,Argentina,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Upper middle income,Armenia,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0960785119048,6.3873345245374,8.9172564363794,13.3626912310712,13.9338034485969,11.6599238198718,11.4268770345935,9.36170272107147,9.34486094722029,8.6146017369496,8.2279737854169,7.4342307381835,6.69774153464357,8.60702498493112,4.6945428177529,7.52550444796663,7.67789334249957,6.57465026113733,6.10504728650153,5.79772968557314,3.96306581230225
ABW,High income,Aruba,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,High income,Australia,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8561922030722,2.71274199703805,1.87642574981591,1.84651875117636,1.80821670860287,1.74058248849086,2.04147658947545,1.91246825396825,,,,,,,2.8733152105808,2.83791666666667,3.18145833333333,3.48145833333333,3.35104166666667,,,,,,,,
AUT,High income,Austria,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Upper middle income,Azerbaijan,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,1.1783333333333,2.9233333333333,3.1958333333333,3.2516666666666,7.4591666666667,11.0979166666667,9.5133333333333,7.825,8.4916666666666,9.3120833333333,16.7225,18.8708333333333,16.7066666666666,15.9170833333333,16.32,15.9675,,3.4193933825912,2.2158333333333,,,,
BHS,High income,Bahamas The,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,4.18500000091667,4.5800000005,6.0141666675,6.05250000083333,3.46500000049997,2.11083333375,2.23833333358333,1.89166666708333,4.12500000075,4.4316666673333,5.78416666683333,6.60416666666667,4.53833333333333,3.7875,3.14833333333333,2.51,2.75916666666666,3.49833333333333,4.99666666666667,3.74083333333333,2.29666666666667,2.40166666666667,2.9075,4.40333333333333,4.9675,4.0575,3.505,4.22416666666667,5.445,5.40083333333334,4.63166666666667,2.83679166666667,2.76614166666667,2.8831,3.22253333333333,3.814175,4.51429166666667,4.45138333333333,4.21661666666667,4.07148333333333,3.10894166666667,2.42203333333333,2.5575,2.64456666666667,2.45436666666667,1.66646666666667
BHR,High income,Bahrain,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.415,-0.668518024032039,,3.47216177125055,7.94326212728087,7.5109679572764,5.90393635959057,5.63518914107704,6.82868046283933,6.51331553182017,6.2708664886515,6.26985068980863,5.04373052959503,6.91081130396083,6.65570071206053,7.16270560747664,6.34765242545616,4.25435358255452,2.94023943035158,3.40217601246105,5.69366894748553,6.8862619047619,6.41645833333333,5.83545833333333,4.82745833333333,5.087875,5.08305833333333,,,,,,,
BGD,Lower middle income,Bangladesh,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14083333333337,5.03,5.13083333333337,7.03375000000003,7.7191666666667,9.4441666666667,3.1716666666667,4.92263624999997,5.76459736111111,5.94857222222226,7.0202416666667,6.18854166666667,7.27807166666666,3.83615277777778,3.52770555555556,6.00644444447223
BRB,High income,Barbados,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,1.96500000074997,0.126666667166701,4.34333333425003,4.57916666766667,5.03000000091667,4.64583333333333,3.91083333333333,4.68416666666667,5.015,4.34833333333337,3.0741666666667,2.6616666666667,3.48083333333334,1.8225,1.99166666666667,3.1475,6.2275,4.13833333333333,3.5625,4.8975,6.44416666666666,6.40333333333333,7.08916666666667,7.12916666666666,4.5425,4.33000000000003,5.1108333333333,5.8358333333333,5.445,5.39833333333333,5.29333333333333,5.2,5.3025,5.1825,5.23666666666666,4.74416666666667,4.74666666666667,4.91583333333333,7.55,7.55,7.55
BLR,Upper middle income,Belarus,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,High income,Belgium,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Upper middle income,Belize,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,2.5950000005834,4.0841666674167,5.0441666666667,1.82833333425,3.886666667,5.34083333333337,5.23499999999997,6.4066666666667,6.6741666666667,7.53583333333337,8.9416666666667,9.77250000000003,10.5008333333333,11.5933333333334,12.5191666666667,12.7783333333334,12.6675,10.3625,10.095,9.5441666666667,10.2433333333334,11.125,10.7216666666667,11.035,10.9891666666667,11.1133333333333,10.9208333333333,10.8616666666667,10.8448,10.9389195833333,10.3555591666666,10.0767216666667,10.3511631837388,10.2109599268031,9.8054067763209,8.80625,7.91166666666667,7.835,7.46416666666667,7.17083333333333
BEN,Lower middle income,Benin,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMU,High income,Bermuda,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Lower middle income,Bhutan,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Lower middle income,Bolivia,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.6816666666666,26.5041666666667,36.0325,36.3991666666667,27.08,21.3041666666667,23.6025,8.5815497595031,8.2268790172883,7.73863310306847,7.05850475052172,11.651278118334,7.3330231840521,6.82461079511259,5.56412963796034,9.49632238910303,9.83998317512029,10.4539160478928,10.6119158531007,9.95908627592388,7.71656747672604,7.4991649078189,7.73482606117997,7.76099203240817,,,,
BIH,Upper middle income,Bosnia and Herzegovina,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Upper middle income,Botswana,Risk premium on lending (lending rate minus treasury bill rate %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
