Code,Income Group,Table Name
AFG,Low income,Afghanistan
ALB,Upper middle income,Albania
DZA,Lower middle income,Algeria
ASM,Upper middle income,American Samoa
AND,High income,Andorra
AGO,Lower middle income,Angola
ATG,High income,Antigua and Barbuda
ARG,Upper middle income,Argentina
ARM,Upper middle income,Armenia
ABW,High income,Aruba
AUS,High income,Australia
AUT,High income,Austria
AZE,Upper middle income,Azerbaijan
BHS,High income,"Bahamas, The"
BHR,High income,Bahrain
BGD,Lower middle income,Bangladesh
BRB,High income,Barbados
BLR,Upper middle income,Belarus
BEL,High income,Belgium
BLZ,Upper middle income,Belize
BEN,Lower middle income,Benin
BMU,High income,Bermuda
BTN,Lower middle income,Bhutan
BOL,Lower middle income,Bolivia
BIH,Upper middle income,Bosnia and Herzegovina
BWA,Upper middle income,Botswana
BRA,Upper middle income,Brazil
VGB,High income,British Virgin Islands
BRN,High income,Brunei Darussalam
BGR,Upper middle income,Bulgaria
BFA,Low income,Burkina Faso
BDI,Low income,Burundi
CPV,Lower middle income,Cabo Verde
KHM,Lower middle income,Cambodia
CMR,Lower middle income,Cameroon
CAN,High income,Canada
CYM,High income,Cayman Islands
CAF,Low income,Central African Republic
TCD,Low income,Chad
CHI,High income,Channel Islands
CHL,High income,Chile
CHN,Upper middle income,China
COL,Upper middle income,Colombia
COM,Lower middle income,Comoros
COD,Low income,"Congo, Dem. Rep."
COG,Lower middle income,"Congo, Rep."
CRI,Upper middle income,Costa Rica
CIV,Lower middle income,Côte d'Ivoire
HRV,High income,Croatia
CUB,Upper middle income,Cuba
CUW,High income,Curaçao
CYP,High income,Cyprus
CZE,High income,Czechia
DNK,High income,Denmark
DJI,Lower middle income,Djibouti
DMA,Upper middle income,Dominica
DOM,Upper middle income,Dominican Republic
ECU,Upper middle income,Ecuador
EGY,Lower middle income,"Egypt, Arab Rep."
SLV,Lower middle income,El Salvador
GNQ,Upper middle income,Equatorial Guinea
ERI,Low income,Eritrea
EST,High income,Estonia
SWZ,Lower middle income,Eswatini
ETH,Low income,Ethiopia
FRO,High income,Faroe Islands
FJI,Upper middle income,Fiji
FIN,High income,Finland
FRA,High income,France
PYF,High income,French Polynesia
GAB,Upper middle income,Gabon
GMB,Low income,"Gambia, The"
GEO,Upper middle income,Georgia
DEU,High income,Germany
GHA,Lower middle income,Ghana
GIB,High income,Gibraltar
GRC,High income,Greece
GRL,High income,Greenland
GRD,Upper middle income,Grenada
GUM,High income,Guam
GTM,Upper middle income,Guatemala
GIN,Low income,Guinea
GNB,Low income,Guinea-Bissau
GUY,Upper middle income,Guyana
HTI,Lower middle income,Haiti
HND,Lower middle income,Honduras
HKG,High income,"Hong Kong SAR, China"
HUN,High income,Hungary
ISL,High income,Iceland
IND,Lower middle income,India
IDN,Lower middle income,Indonesia
IRN,Lower middle income,"Iran, Islamic Rep."
IRQ,Upper middle income,Iraq
IRL,High income,Ireland
IMN,High income,Isle of Man
ISR,High income,Israel
ITA,High income,Italy
JAM,Upper middle income,Jamaica
JPN,High income,Japan
JOR,Upper middle income,Jordan
KAZ,Upper middle income,Kazakhstan
KEN,Lower middle income,Kenya
KIR,Lower middle income,Kiribati
PRK,Low income,"Korea, Dem. People's Rep."
KOR,High income,"Korea, Rep."
XKX,Upper middle income,Kosovo
KWT,High income,Kuwait
KGZ,Lower middle income,Kyrgyz Republic
